Address,Lead_Status,Latitude,Longitude,Source,Last_Visited,Last_Result,Callback_Target,Notes,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,Address_Normalized,Geocodio Latitude,Geocodio Longitude,In_Source_CSV,Price,Beds,Baths,SqFt,Sold Date,Redfin Link,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Next_Eligible_Date,Street_Key,Street_Last_Visited,Street_Next_Eligible_Date,Street_Cooldown_Source
"421 Creeping Jenny Dr, Piedmont, SC 29673",ELIGIBLE,34.698328,-82.484068,tricounty,,,,,PAST SALE,2025-12-29,Single Family Residential,421 Creeping Jenny Dr,Piedmont,SC,29673,335000.0,5.0,3.0,Piedmont,2674.0,8712.0,2025.0,,125.0,50.0,Sold,,,https://www.redfin.com/SC/Piedmont/421-Creeping-Jenny-DR-29673/home/198543773,Greater Greenville MLS,1571724.0,N,Y,34.698328,-82.484068,Anderson,421 CREEPING JENNY DR PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,CREEPING JENNY DR,,,
"421 E Westbrooks Rd, Seneca, SC 29678",ELIGIBLE,34.6441523,-82.9446867,tricounty,,,,,PAST SALE,2025-08-14,Single Family Residential,421 E Westbrooks Rd,Seneca,SC,29678,265000.0,2.0,2.0,Other (See Remarks),2400.0,43560.0,,,110.0,,Sold,,,https://www.redfin.com/SC/Seneca/421-E-Westbrooks-Rd-29678/home/129067922,Greater Greenville MLS,1560892.0,N,Y,34.6441523,-82.9446867,Oconee,421 E WESTBROOKS RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,E WESTBROOKS RD,,,
"421 Horse Shoe Bnd, Anderson, SC 29625",ELIGIBLE,34.5182045,-82.6852743,tricounty,2026-01-17,OTHER,,RAW_RESULT: nan,PAST SALE,2025-04-08,Single Family Residential,421 Horse Shoe Bnd,Anderson,SC,29625,126000.0,2.0,1.0,,938.0,14374.0,1948.0,,134.0,,Sold,,,https://www.redfin.com/SC/Anderson/421-Horse-Shoe-Bnd-29625/home/193082480,Greater Greenville MLS,1539516.0,N,Y,34.5182045,-82.6852743,Anderson,421 HORSE SHOE BND ANDERSON SC 29625,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-16,HORSE SHOE BND,2026-01-17,2026-02-16,TODAY_ROUTE_RESULTS
"4214 Highway 86, Easley, SC 29642",ELIGIBLE,34.7451118,-82.5505173,tricounty,,,,,PAST SALE,,Single Family Residential,4214 Highway 86,Easley,SC,29642,577820.0,,,,4349.0,999702.0,,,133.0,,,,,https://www.redfin.com/SC/Easley/4214-Highway-86-29642/home/86702385,,,N,Y,34.7451118,-82.5505173,Anderson,4214 HIGHWAY 86 EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,HIGHWAY 86,,,
"422 Basalt Ct, Easley, SC 29642",ELIGIBLE,34.775856,-82.5219321,tricounty,,,,,PAST SALE,2025-08-11,Single Family Residential,422 Basalt Ct,Easley,SC,29642,310000.0,3.0,2.0,Caledonia,1580.0,12632.0,,,196.0,42.0,Sold,,,https://www.redfin.com/SC/Easley/422-Basalt-Ct-29642/home/143853929,Greater Greenville MLS,1561748.0,N,Y,34.775856,-82.5219321,Anderson,422 BASALT CT EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,BASALT CT,,,
"422 Briggs Dr, Easley, SC 29642",ELIGIBLE,34.811951,-82.582926,tricounty,,,,,PAST SALE,2025-11-06,Single Family Residential,422 Briggs Dr,Easley,SC,29642,437375.0,4.0,3.0,Easley,2907.0,16117.0,2025.0,,150.0,548.0,Sold,,,https://www.redfin.com/SC/Easley/422-Briggs-Dr-29642/home/198609471,Greater Greenville MLS,1572211.0,N,Y,34.811951,-82.582926,Pickens,422 BRIGGS DR EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,BRIGGS DR,,,
"422 Hall Rd, Anderson, SC 29624",ELIGIBLE,34.4182973,-82.6304356,tricounty,,,,,PAST SALE,2025-01-13,Single Family Residential,422 Hall Rd,Anderson,SC,29624,237500.0,3.0,2.0,,1694.0,72745.0,2000.0,,140.0,,Sold,,,https://www.redfin.com/SC/Anderson/422-Hall-Rd-29624/home/86680104,Greater Greenville MLS,1541373.0,N,Y,34.4182973,-82.6304356,Anderson,422 HALL RD ANDERSON SC 29624,,,,,,,,,,,,,,,,,,,,,,,,,,HALL RD,,,
"422 Sonora Dr, Easley, SC 29640",ELIGIBLE,34.8519656,-82.4872685,tricounty,,,,,PAST SALE,,Single Family Residential,422 Sonora Dr,Easley,SC,29640,140000.0,3.0,2.0,,2016.0,32348.0,1992.0,,69.0,,,,,https://www.redfin.com/SC/Easley/422-Sonora-Dr-29640/home/87073242,,,N,Y,34.8519656,-82.4872685,Pickens,422 SONORA DR EASLEY SC 29640,,,,,,,,,,,,,,,,,,,,,,,,,,SONORA DR,,,
"423 Fields Ave, Anderson, SC 29625",ELIGIBLE,34.5274697,-82.8116331,tricounty,,,,,PAST SALE,2025-06-02,Single Family Residential,423 Fields Ave,Anderson,SC,29625,315900.0,3.0,2.0,Welborn Fields,1650.0,,,,191.0,,Sold,,,https://www.redfin.com/SC/Anderson/423-Fields-Ave-29625/home/86672031,WUMLS,20284754.0,N,Y,34.5274697,-82.8116331,Anderson,423 FIELDS AVE ANDERSON SC 29625,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDS AVE,,,
"423 Fox Pond Dr, nan, SC 29678",ELIGIBLE,34.6926797300251,-82.910391358037,tricounty,,,,,PAST SALE,2025-12-30,Single Family Residential,423 Fox Pond Dr,,SC,29678,468865.0,4.0,3.5,Seneca,2534.0,10018.0,2025.0,,185.0,70.0,Sold,,,https://www.redfin.com/SC/Unknown/423-Fox-Pond-Dr-29678/home/199170396,Greater Greenville MLS,1575273.0,N,Y,34.6926797300251,-82.910391358037,Oconee,423 FOX POND DR NAN SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,FOX POND DR,,,
"423 Greenmeadow Cir, Anderson, SC 29626",ELIGIBLE,34.4915361,-82.6917477,tricounty,,,,,PAST SALE,2025-10-17,Single Family Residential,423 Greenmeadow Cir,Anderson,SC,29626,236000.0,3.0,2.0,Anderson,1613.0,25700.0,,,146.0,,Sold,,,https://www.redfin.com/SC/Anderson/423-Greenmeadow-Cir-29626/home/86688327,Greater Greenville MLS,1568293.0,N,Y,34.4915361,-82.6917477,Anderson,423 GREENMEADOW CIR ANDERSON SC 29626,,,,,,,,,,,,,,,,,,,,,,,,,,GREENMEADOW CIR,,,
"423 Lebanon Rd, Pendleton, SC 29670",ELIGIBLE,34.6443084,-82.7722557,tricounty,,,,,PAST SALE,2025-09-02,Single Family Residential,423 Lebanon Rd,Pendleton,SC,29670,239900.0,3.0,1.0,Pendleton,1354.0,16552.0,,,177.0,,Sold,,,https://www.redfin.com/SC/Pendleton/423-Lebanon-Rd-29670/home/164503372,WUMLS,20290113.0,N,Y,34.6443084,-82.7722557,Anderson,423 LEBANON RD PENDLETON SC 29670,,,,,,,,,,,,,,,,,,,,,,,,,,LEBANON RD,,,
