SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,January-20-2022,Single Family Residential,620 Pineridge Ct,Great Falls,MT,59405,250000,2,2.0,Great Falls,1448,6098,1994,,173,,Sold,,,https://www.redfin.com/MT/Great-Falls/620-Pineridge-Ct-59405/home/132118136,MRMLS,22117830,N,Y,47.5120986,-111.2244411,"Greenville County, SC","Greenville, SC"
PAST SALE,December-8-2021,Single Family Residential,104 36th Ave NE,Great Falls,MT,59404,486000,4,3.0,Great Falls,3274,11761,2007,,148,,Sold,,,https://www.redfin.com/MT/Great-Falls/104-36th-Ave-NE-59404/home/132014491,MRMLS,22112827,N,Y,47.5382903,-111.3126918,"Greenville County, SC","Greenville, SC"
PAST SALE,June-29-2021,Single Family Residential,3325 17th Ave S,Great Falls,MT,59405,230000,3,2.0,Great Falls,1910,7840,1968,,120,,Sold,,,https://www.redfin.com/MT/Great-Falls/3325-17th-Ave-S-59405/home/132170272,MRMLS,22107371,N,Y,47.4859509,-111.248188,"Greenville County, SC","Greenville, SC"
PAST SALE,September-26-2022,Single Family Residential,101 29th Ave NW,Great Falls,MT,59404,375000,3,3.0,Great Falls,2940,13503,1971,,128,,Sold,,,https://www.redfin.com/MT/Great-Falls/101-29th-Ave-NW-59404/home/132040981,MRMLS,22212117,N,Y,47.5324099,-111.3153902,"Greenville County, SC","Greenville, SC"
PAST SALE,November-3-2022,Single Family Residential,2508 4th Ave S,Great Falls,MT,59405,237000,3,1.0,Great Falls,1584,7405,1952,,150,,Sold,,,https://www.redfin.com/MT/Great-Falls/2508-4th-Ave-S-59405/home/132069128,MRMLS,22214054,N,Y,47.5004755,-111.2636107,"Greenville County, SC","Greenville, SC"
PAST SALE,July-2-2021,Single Family Residential,56 37th Ave NE,Great Falls,MT,59404,359900,5,3.0,Great Falls,2546,9583,2010,,141,,Sold,,,https://www.redfin.com/MT/Great-Falls/56-37th-Ave-NE-59404/home/132194782,MRMLS,22106065,N,Y,47.5392237,-111.3138568,"Greenville County, SC","Greenville, SC"
PAST SALE,December-23-2022,Vacant Land,Unk N Forest St,Neihart,MT,59465,10000,,,Neihart,,3920,,,,,Sold,,,https://www.redfin.com/MT/Neihart/Unk-N-Forest-St-59465/home/183259271,MRMLS,22216261,N,Y,46.934616,-110.736644,"Greenville County, SC","Greenville, SC"
PAST SALE,December-29-2021,Single Family Residential,204 Riverview 3 E,Great Falls,MT,59404,259900,4,2.0,Great Falls,1920,10454,1960,,135,,Sold,,,https://www.redfin.com/MT/Great-Falls/204-Riverview-3-E-59404/home/132116357,MRMLS,22116200,N,Y,47.5298508,-111.3100793,"Greenville County, SC","Greenville, SC"
PAST SALE,January-25-2022,Single Family Residential,3416 1st Ave S,Great Falls,MT,59401,219000,3,1.0,Great Falls,1858,7405,1949,,118,,Sold,,,https://www.redfin.com/MT/Great-Falls/3416-1st-Ave-S-59401/home/132155660,MRMLS,22116029,N,Y,47.5037017,-111.2474783,"Greenville County, SC","Greenville, SC"
PAST SALE,April-22-2021,Single Family Residential,200 Riverview 4 E,Great Falls,MT,59404,234900,4,2.0,Great Falls,2320,8712,1961,,101,,Sold,,,https://www.redfin.com/MT/Great-Falls/200-Riverview-4-E-59404/home/132079865,MRMLS,22102868,N,Y,47.5300854,-111.3113882,"Greenville County, SC","Greenville, SC"
PAST SALE,August-22-2022,Single Family Residential,213 28th St S,Great Falls,MT,59405,55000,2,1.0,Great Falls,918,7405,1900,,60,,Sold,,,https://www.redfin.com/MT/Great-Falls/213-28th-St-S-59405/home/132039793,MRMLS,22210747,N,Y,47.5022477,-111.2586053,"Greenville County, SC","Greenville, SC"
PAST SALE,December-20-2022,Single Family Residential,117 Riverview 7 W,Great Falls,MT,59404,279900,4,2.0,Great Falls,2024,8276,1960,,138,,Sold,,,https://www.redfin.com/MT/Great-Falls/117-Riverview-7-W-59404/home/132165052,MRMLS,22211838,N,Y,47.5313873,-111.3132881,"Greenville County, SC","Greenville, SC"
PAST SALE,March-23-2022,Single Family Residential,804 49th St N,Great Falls,MT,59405,279000,3,2.0,Great Falls,1400,5662,2007,,199,,Sold,,,https://www.redfin.com/MT/Great-Falls/804-49th-St-N-59405/home/132098775,MRMLS,22201868,N,Y,47.5145275,-111.2248447,"Greenville County, SC","Greenville, SC"
PAST SALE,November-9-2021,Single Family Residential,2420 5th Ave S,Great Falls,MT,59405,295000,4,1.5,Great Falls,2376,10454,1964,,124,,Sold,,,https://www.redfin.com/MT/Great-Falls/2420-5th-Ave-S-59405/home/132145837,MRMLS,22114257,N,Y,47.4993707,-111.2648358,"Greenville County, SC","Greenville, SC"
PAST SALE,March-27-2025,Condo/Co-op,1117 14th St S #3,Great Falls,MT,59405,215000,2,2.0,Great Falls,936,,2000,,230,310,Sold,,,https://www.redfin.com/MT/Great-Falls/1117-14th-St-S-59405/unit-3/home/132193664,MRMLS,30041315,N,Y,47.4921677,-111.2832158,"Greenville County, SC","Greenville, SC"
PAST SALE,July-15-2022,Single Family Residential,330 25th Ave S,Great Falls,MT,59405,285000,3,2.0,Great Falls,1219,18295,1960,,234,,Sold,,,https://www.redfin.com/MT/Great-Falls/330-25th-Ave-S-59405/home/132029352,MRMLS,22207727,N,Y,47.4788714,-111.3028582,"Greenville County, SC","Greenville, SC"
PAST SALE,September-29-2022,Single Family Residential,409 Beaverhead Ct,Great Falls,MT,59405,279900,5,2.0,Great Falls,2408,4356,1977,,116,,Sold,,,https://www.redfin.com/MT/Great-Falls/409-Beaverhead-Ct-59405/home/131972692,MRMLS,22211875,N,Y,47.5098636,-111.2278865,"Greenville County, SC","Greenville, SC"
PAST SALE,July-1-2022,Vacant Land,Upper Big Pine Ln,,MT,59421,85000,,,Cascade,,318859,,,,,Sold,,,https://www.redfin.com/MT/Unknown/Upper-Big-Pine-Ln-59421/home/183274993,MRMLS,22202846,N,Y,47.154677,-111.877621,"Greenville County, SC","Greenville, SC"
PAST SALE,October-27-2022,Single Family Residential,212 Riverview 3 E,Great Falls,MT,59404,269900,3,2.0,Great Falls,1632,8276,1960,,165,,Sold,,,https://www.redfin.com/MT/Great-Falls/212-Riverview-3-E-59404/home/132159473,MRMLS,22214535,N,Y,47.5306261,-111.3097529,"Greenville County, SC","Greenville, SC"
PAST SALE,January-10-2022,Single Family Residential,412 24th Ave NE,Great Falls,MT,59404,187000,4,2.0,Great Falls,1728,7405,1959,,108,,Sold,,,https://www.redfin.com/MT/Great-Falls/412-24th-Ave-NE-59404/home/132080065,MRMLS,22118153,N,Y,47.5276443,-111.3045829,"Greenville County, SC","Greenville, SC"
